{'weights': [0.05, 0.05, 0.49999999999999994, 0.39999999999999997], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1456.776595744681, 'shape_smoothness': 8.92563780232934, 'edge_consistency': 0.3364661752805196, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.25467611131767826, 'intensity_variance_error': nan, 'peak_intensity_consistency': 11.704625938690626, 'ge_normalized': 0.2783754639354648, 'ge': 1447.755388556082, 'spatial_spread_error': 15.209536612700532, 'gap_error': 0.3674325970278618}
{'weights': [0.05, 0.05, 0.49999999999999994, 0.39999999999999997], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1456.776595744681, 'shape_smoothness': 8.92563780232934, 'edge_consistency': 0.3364661752805196, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.25467611131767826, 'intensity_variance_error': nan, 'peak_intensity_consistency': 11.704625938690626, 'ge_normalized': 0.2783754639354648, 'ge': 1447.755388556082, 'spatial_spread_error': 15.209536612700532, 'gap_error': 0.3674325970278618}
{'weights': [0.05, 0.1, 0.05, 0.7999999999999999], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 6088.645390070921, 'shape_smoothness': 8.075211477088875, 'edge_consistency': 0.16829523279502548, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.09086996204150384, 'intensity_variance_error': nan, 'peak_intensity_consistency': 16.460838878764665, 'ge_normalized': 0.422144746684018, 'ge': 992.9941155887632, 'spatial_spread_error': 17.87692282209757, 'gap_error': 0.3659124169762468}
{'weights': [0.05, 0.1, 0.05, 0.7999999999999999], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1785.9078014184397, 'shape_smoothness': 7.463355195405569, 'edge_consistency': 1.5554357907585568, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.19304622086269752, 'intensity_variance_error': nan, 'peak_intensity_consistency': 13.936465188442284, 'ge_normalized': 0.2905784513798718, 'ge': 1373.8856606754691, 'spatial_spread_error': 15.639861943417385, 'gap_error': 0.36805170801070997}
{'weights': [0.05, 0.1, 0.05, 0.7999999999999999], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 7699.312056737588, 'shape_smoothness': 8.361919436817486, 'edge_consistency': 0.1514359800257307, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.08930528487528179, 'intensity_variance_error': nan, 'peak_intensity_consistency': 16.247951482590455, 'ge_normalized': 0.4465675852899841, 'ge': 954.778547386878, 'spatial_spread_error': 21.505063607865953, 'gap_error': 0.3647255592544347}
{'weights': [0.05, 0.1, 0.05, 0.7999999999999999], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1214.1560283687943, 'shape_smoothness': 7.9055729543161375, 'edge_consistency': 0.258681144661092, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.09394771942177836, 'intensity_variance_error': nan, 'peak_intensity_consistency': 15.630512892154398, 'ge_normalized': 0.39998931527791143, 'ge': 1017.4464621026282, 'spatial_spread_error': 17.6751813480236, 'gap_error': 0.36635628246570495}
{'weights': [0.05, 0.1, 0.05, 0.7999999999999999], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 789.7730496453901, 'shape_smoothness': 9.435798595626336, 'edge_consistency': 1.035969291276878, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.24957969439600414, 'intensity_variance_error': nan, 'peak_intensity_consistency': 12.768894560361007, 'ge_normalized': 0.27864699525076325, 'ge': 1437.742562598605, 'spatial_spread_error': 14.464833280559526, 'gap_error': 0.3676957077512048}
{'weights': [0.05, 0.1, 0.05, 0.7999999999999999], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 845.670390070922, 'shape_smoothness': 5.72653284426687, 'edge_consistency': 18.658956439872405, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.16032219000145004, 'intensity_variance_error': nan, 'peak_intensity_consistency': 15.177684444697357, 'ge_normalized': 0.303023904505872, 'ge': 1312.5206400624309, 'spatial_spread_error': 16.96733799538701, 'gap_error': 0.36855987744054347}
{'weights': [0.05, 0.1, 0.05, 0.7999999999999999], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 789.7730496453901, 'shape_smoothness': 9.435798595626336, 'edge_consistency': 1.035969291276878, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.24957969439600414, 'intensity_variance_error': nan, 'peak_intensity_consistency': 12.768894560361007, 'ge_normalized': 0.27864699525076325, 'ge': 1437.742562598605, 'spatial_spread_error': 14.464833280559526, 'gap_error': 0.3676957077512048}
{'weights': [0.05, 0.1, 0.05, 0.7999999999999999], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 789.7730496453901, 'shape_smoothness': 9.435798595626336, 'edge_consistency': 1.035969291276878, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.24957969439600414, 'intensity_variance_error': nan, 'peak_intensity_consistency': 12.768894560361007, 'ge_normalized': 0.27864699525076325, 'ge': 1437.742562598605, 'spatial_spread_error': 14.464833280559526, 'gap_error': 0.3676957077512048}
