{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 2.5, 'error1': 752.6239927691955, 'error2': 0.04594337815237782, 'error3': 209.42764710312034}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 3.0, 'error1': 743.1063928211656, 'error2': 0.045082684268566785, 'error3': 217.99816147974204}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 3.5, 'error1': 730.0960436737107, 'error2': 0.05031043407482704, 'error3': 224.3594670657944}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 4.0, 'error1': 699.7132336278437, 'error2': 0.053568025556680915, 'error3': 226.64201864529613}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 4.5, 'error1': 682.5423254338332, 'error2': 0.05331840262171219, 'error3': 222.42495711972387}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 5.0, 'error1': 663.2209445538845, 'error2': 0.053438743711246794, 'error3': 220.57916911890916}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 5.5, 'error1': 650.3456623144714, 'error2': 0.05501190576966342, 'error3': 193.0658975587378}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 6.0, 'error1': 648.5098794885749, 'error2': 0.056503605370681775, 'error3': 194.39853716848995}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 6.5, 'error1': 599.8054832644902, 'error2': 0.056943313400588245, 'error3': 158.5956373431819}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 7.0, 'error1': 586.1421062730084, 'error2': 0.056868106000367874, 'error3': 166.25982661038321}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 7.5, 'error1': 619.5115547145457, 'error2': 0.05650340372025409, 'error3': 179.35517597722946}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 0.5, 'error1': 883.2211319206921, 'error2': 0.0025756470419979628, 'error3': 3.2982116220464763}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 1.0, 'error1': 782.7505896140437, 'error2': 0.003784163938175805, 'error3': 9.26849434828983}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 1.5, 'error1': 736.362222455949, 'error2': 0.0064976970064819445, 'error3': 22.904062932478222}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 2.0, 'error1': 783.2094013772414, 'error2': 0.04270057561797372, 'error3': 65.44009883309023}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 2.5, 'error1': 760.0247812241429, 'error2': 0.041851654452009085, 'error3': 164.22042429881273}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 3.0, 'error1': 725.8917813253485, 'error2': 0.0463443493994729, 'error3': 193.3354135598755}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 3.5, 'error1': 726.631505004666, 'error2': 0.04529748941762617, 'error3': 206.7675917126035}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 4.0, 'error1': 699.4550362729394, 'error2': 0.04505555295823102, 'error3': 197.78273962499745}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 4.5, 'error1': 683.8987647821236, 'error2': 0.053275966618029, 'error3': 201.80708059748204}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 5.0, 'error1': 661.9545987520808, 'error2': 0.05381373787147297, 'error3': 188.08785879479603}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 5.5, 'error1': 608.8998844472557, 'error2': 0.05438507831987863, 'error3': 158.64383415725112}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 6.0, 'error1': 640.7064460065128, 'error2': 0.05338709428953926, 'error3': 184.6145908390596}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 6.5, 'error1': 653.2848503907246, 'error2': 0.0536975016644062, 'error3': 194.08700317885322}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 7.0, 'error1': 588.3365309007097, 'error2': 0.057480348954055155, 'error3': 143.21623974854955}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 7.5, 'error1': 603.198731834755, 'error2': 0.05709336179984978, 'error3': 155.61143023562997}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 0.5, 'error1': 903.1434391358566, 'error2': 0.0028726956005941003, 'error3': 5.957871809920628}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 1.0, 'error1': 782.9910469555354, 'error2': 0.0026746122561994764, 'error3': 6.304428541401808}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 1.5, 'error1': 658.6402751209313, 'error2': 0.004043127244246366, 'error3': 13.4952294930387}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 2.0, 'error1': 690.0139228282685, 'error2': 0.024149834466593228, 'error3': 30.280592797112956}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 2.5, 'error1': 741.7753284849477, 'error2': 0.03579535356854672, 'error3': 77.1276976143688}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 3.0, 'error1': 733.2912189631314, 'error2': 0.04196430967639756, 'error3': 156.53319652857888}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 3.5, 'error1': 704.4841964142253, 'error2': 0.04646678609981783, 'error3': 191.12894755920738}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 4.0, 'error1': 697.1781178972894, 'error2': 0.04555291909795919, 'error3': 193.69379361830656}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 4.5, 'error1': 650.7762651964788, 'error2': 0.04547694364213345, 'error3': 158.02650704017455}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 5.0, 'error1': 664.3604933184914, 'error2': 0.05001566815994748, 'error3': 179.21039931570593}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 5.5, 'error1': 647.4572481400223, 'error2': 0.05357838067672621, 'error3': 182.25969961142792}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 6.0, 'error1': 653.0513211114422, 'error2': 0.053254971659150364, 'error3': 173.88574821965872}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 6.5, 'error1': 590.9636537370984, 'error2': 0.0549542880143345, 'error3': 153.5062888517832}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 7.0, 'error1': 635.5511148186366, 'error2': 0.053277357501261786, 'error3': 174.22431104138727}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 7.5, 'error1': 594.0678081957201, 'error2': 0.05448305851654924, 'error3': 166.32175199130285}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.5, 'xy_weight': 0.5, 'error1': 806.3059062636192, 'error2': 0.0020575323111593656, 'error3': 2.902573332634202}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.5, 'xy_weight': 1.0, 'error1': 691.0405065800032, 'error2': 0.002730085003575499, 'error3': 3.5948911418889744}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.5, 'xy_weight': 1.5, 'error1': 594.0054187497766, 'error2': 0.002362460229601579, 'error3': 8.793174450917581}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.5, 'xy_weight': 2.0, 'error1': 610.3023316408648, 'error2': 0.004384727285397805, 'error3': 21.107957651077268}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.5, 'xy_weight': 2.5, 'error1': 712.6709766132942, 'error2': 0.02567418205227835, 'error3': 48.36490970630317}
