{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 4.0, 'error1': 1167.3901149059352, 'error2': 0.03523697902883237, 'error3': 189.22211686355107}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 4.5, 'error1': 1223.569780808532, 'error2': 0.033900525567890784, 'error3': 169.65414224565555}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 5.0, 'error1': 1238.5208454902736, 'error2': 0.03390222107943535, 'error3': 166.17467469717658}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 5.5, 'error1': 1091.0019577414268, 'error2': 0.03331064132510834, 'error3': 158.62474181284776}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 6.0, 'error1': 1108.873417393232, 'error2': 0.03311948427762978, 'error3': 136.64770082995338}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 6.5, 'error1': 1089.8661075240398, 'error2': 0.03277255246827541, 'error3': 133.9926240707188}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 7.0, 'error1': 1075.2244557563722, 'error2': 0.031997987005959794, 'error3': 132.78378197374946}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 7.5, 'error1': 1112.9681419583744, 'error2': 0.03235977762414908, 'error3': 113.22781571808683}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 0.5, 'error1': 1222.3931382883763, 'error2': 0.06277620391551983, 'error3': 97.00925625530736}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 1.0, 'error1': 1182.2388621110395, 'error2': 0.06257497129649003, 'error3': 98.08282890562053}
