{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 1.0, 'error1': 682.125845935896, 'error2': 0.02024695258197926, 'error3': 25.527617586738526}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 1.5, 'error1': 474.7253017185041, 'error2': 0.019604237806977932, 'error3': 39.40680590374283}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 2.0, 'error1': 443.1260384881174, 'error2': 0.02197494731411901, 'error3': 41.226186846463214}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 2.5, 'error1': 489.03707946367194, 'error2': 0.023455213673474338, 'error3': 38.03768437462838}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 3.0, 'error1': 877.3416832172684, 'error2': 0.026267003928075506, 'error3': 10.681135404365167}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 3.5, 'error1': 607.0071358230304, 'error2': 0.023962814510676937, 'error3': 30.8970899534944}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 4.0, 'error1': 827.6622584041723, 'error2': 0.026822470939510595, 'error3': 17.296766189930374}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 4.5, 'error1': 968.7629741735009, 'error2': 0.02642844596133743, 'error3': 60.85238848256216}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 5.0, 'error1': 887.9884384902359, 'error2': 0.026654956006944702, 'error3': 70.67807951769952}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 5.5, 'error1': 751.450254581582, 'error2': 0.026570881676456166, 'error3': 67.74699401152999}
